Id;Country;StartDate;EndDate;Type;Name;Comment
xxxxxx;IT;2029-04-02;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2029-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2029-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2029-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2029-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2029-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2029-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2029-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2029-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;

xxxxxx;IT;2030-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
xxxxxx;IT;2030-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
xxxxxx;IT;2030-04-22;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
xxxxxx;IT;2030-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
xxxxxx;IT;2030-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
xxxxxx;IT;2030-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
xxxxxx;IT;2030-08-15;;Public;IT Assunzione di Maria,EN Assumption Day,DE Mariä Himmelfahrt;
xxxxxx;IT;2030-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
xxxxxx;IT;2030-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
xxxxxx;IT;2030-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
xxxxxx;IT;2030-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;
